Buffalo Bills,2,0,0,1.000,72,17,55,27.5,-10.4,17.1,8.3,8.9
Miami Dolphins,2,0,0,1.000,62,45,17,8.5,11.7,20.2,19.3,0.9
New England Patriots,1,1,0,.500,24,34,-10,-5.0,6.1,1.1,-11.2,12.3
New York Jets,1,1,0,.500,40,54,-14,-7.0,9.6,2.6,-1.8,4.4
Cleveland Browns,2,1,0,.667,85,72,13,4.3,-7.5,-3.2,4.7,-7.9
Baltimore Ravens,1,1,0,.500,62,51,11,5.5,6.0,11.5,9.3,2.2
Pittsburgh Steelers,1,2,0,.333,54,66,-12,-4.0,1.3,-2.7,-1.4,-1.4
Cincinnati Bengals,0,2,0,.000,37,43,-6,-3.0,-10.5,-13.5,-6.3,-7.2
Jacksonville Jaguars,1,1,0,.500,46,28,18,9.0,-1.1,7.9,2.1,5.9
Indianapolis Colts,0,1,1,.250,20,44,-24,-12.0,-4.9,-16.9,-12.4,-4.5
Houston Texans,0,1,1,.250,29,36,-7,-3.5,-17.1,-20.6,-7.6,-13.0
Tennessee Titans,0,2,0,.000,27,62,-35,-17.5,9.9,-7.6,-1.8,-5.8
Kansas City Chiefs,2,0,0,1.000,71,45,26,13.0,-3.8,9.3,7.3,2.0
Denver Broncos,1,1,0,.500,32,26,6,3.0,-23.2,-20.2,-18.1,-2.1
Los Angeles Chargers,1,1,0,.500,48,46,2,1.0,3.8,4.8,-0.5,5.3
Las Vegas Raiders,0,2,0,.000,42,53,-11,-5.5,-3.8,-9.3,-7.3,-2.0
